id,property_id,score
1,9,
2,10,2
3,11,
4,17,
5,18,
6,26,
7,27,1
8,28,
9,32,1
10,36,2
11,37,
12,38,4
13,40,8
14,41,2
15,42,9
16,43,7
17,44,7
18,45,12
19,46,1
20,47,23
21,48,17
22,49,19
23,51,3
24,52,11
25,53,7
26,54,6
27,55,2
28,56,1
29,57,9
30,58,10
31,59,5
32,60,4
33,61,2
34,62,
35,63,7
36,64,3
37,65,1
38,67,19
39,68,2
40,70,
41,71,1
42,72,
43,73,5
44,76,
45,77,
46,79,1
47,83,
48,85,
49,88,
50,91,
51,97,
52,98,1
53,122,
54,123,
55,127,2
56,136,
57,139,
58,141,
59,142,
60,143,10
61,144,
62,152,1
63,154,
64,182,
65,184,
66,186,1
67,187,1
68,190,
69,191,
70,192,
71,237,
72,244,
73,249,
74,250,
75,254,
76,255,1
77,275,
78,280,
79,283,
80,289,1
81,300,
82,306,
83,310,
84,320,3
85,321,
86,322,1
87,324,6
88,327,1
89,329,
90,331,
91,333,
92,335,
93,338,
94,344,2
95,345,2
96,346,1
97,350,
98,361,1
99,366,1
100,370,2
101,372,
102,378,
103,383,3
104,388,1
105,397,
106,401,
107,402,
108,418,
109,467,
110,476,
111,480,2
112,510,1
113,544,2
114,561,
115,562,5
116,564,
117,567,
118,573,
119,574,1
120,576,1
121,581,
122,583,3
123,586,
124,587,1
125,588,
126,591,
127,595,
128,596,
129,599,3
130,609,
131,616,
132,618,
133,619,1
134,631,1
135,637,2
136,640,
137,644,1
138,645,
139,649,
140,652,
141,657,
142,661,
143,663,
144,667,1
145,676,
146,680,
147,686,1
148,690,1
149,693,
150,694,
151,695,
152,702,
153,709,
154,710,1
155,713,
156,716,3
157,718,1
158,737,1
159,739,2
160,745,
161,748,
162,752,1
163,754,
164,757,1
165,765,14
166,767,
167,769,
168,771,
169,772,2
170,790,1
171,792,1
172,793,
173,803,
174,807,1
175,808,
176,811,1
177,813,
178,814,
179,825,1
180,829,
181,831,3
182,832,
183,833,
184,836,
185,845,
186,851,2
187,852,
188,857,
189,865,1
190,869,1
191,875,1
192,879,3
193,887,
194,888,
195,890,
196,892,1
197,895,
198,899,1
199,904,
200,908,1
201,919,3
202,921,1
203,924,1
204,930,1
205,933,1
206,942,1
207,947,
208,948,1
209,950,
210,957,1
211,962,
212,963,2
213,964,
214,966,
215,974,
216,977,
217,978,2
218,985,
219,990,
220,995,
221,1000,
222,1013,
223,1017,1
224,1030,3
225,1031,1
226,1035,
227,1042,1
228,1044,
229,1045,
230,1055,
231,1056,
232,1057,
233,1058,1
234,1068,2
235,1070,
236,1072,
237,1073,1
238,1074,1
239,1075,
240,1080,1
241,1081,
242,1082,
243,1087,
244,1100,1
245,1112,
246,1116,2
247,1123,
248,1130,5
249,1134,4
250,1135,
251,1136,
252,1142,
253,1145,
254,1156,
255,1161,1
256,1162,
257,1166,
258,1170,
259,1184,
260,1190,
261,1196,
262,1198,
263,1199,1
264,1202,
265,1205,1
266,1210,
267,1211,1
268,1212,1
269,1216,
270,1217,1
271,1220,1
272,1221,
273,1226,
274,1227,
275,1238,
276,1239,
277,1240,1
278,1257,1
279,1258,
280,1260,1
281,1266,1
282,1276,
283,1281,
284,1287,1
285,1291,
286,1298,2
287,1302,1
288,1304,
289,1315,1
290,1320,1
291,1321,
292,1322,
293,1326,
294,1331,
295,1341,1
296,1345,
297,1346,4
298,1349,1
299,1356,
300,1357,
301,1365,2
302,1367,
303,1370,2
304,1373,
305,1377,1
306,1379,1
307,1389,4
308,1391,
309,1395,3
310,1397,3
311,1399,4
312,1401,1
313,1406,2
314,1410,
315,1411,2
316,1412,2
317,1413,
318,1417,2
319,1422,2
320,1423,
321,1439,
322,1445,1
323,1448,
324,1451,
325,1455,1
326,1456,1
327,1460,
328,1462,
329,1466,
330,1468,
331,1469,1
332,1474,1
333,1477,
334,1478,2
